[2026-06-30 16:53:35] [INFO]: 🔍 Executing system-wide library asset inventory sweep...
[2026-06-30 16:53:35] [WARN]: ⚠️ Specified drive pathway missing index markers: /app/storage/movies
[2026-06-30 16:53:35] [WARN]: ⚠️ Specified drive pathway missing index markers: /app/storage/series
[2026-06-30 16:53:35] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:35] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:36] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:36] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:36] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:37] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:39] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:41] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:43] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:45] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:47] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:49] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:52] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:54] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:56] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:53:58] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
[2026-06-30 16:54:00] [ERROR]: 🚨 Redis Hub Error: connect ECONNREFUSED 127.0.0.1:6379
