imdbId,title,originalTitle,startYear,endYear,genres,averageRating,numVotes,episodeCount,searchText
tt0903747,Breaking Bad,Breaking Bad,2008,2013,"Crime, Drama, Thriller",9.5,2635764,62,tt0903747 breaking bad breaking bad 2008 2013 crime drama thriller 2635764 9 5
tt0944947,Game of Thrones,Game of Thrones,2011,2019,"Drama, Fantasy",9.2,2628909,74,tt0944947 game of thrones game of thrones 2011 2019 drama fantasy 2628909 9 2
tt4574334,Stranger Things,Stranger Things,2016,2025,"Drama, Fantasy, Horror",8.6,1712284,42,tt4574334 stranger things stranger things 2016 2025 drama fantasy horror 1712284 8 6
tt1520211,The Walking Dead,The Walking Dead,2010,2022,"Drama, Horror, Thriller",8.1,1201663,177,tt1520211 the walking dead the walking dead 2010 2022 drama horror thriller 1201663 8 1
tt0108778,Friends,Friends,1994,2004,"Comedy, Romance",8.8,1196570,234,tt0108778 friends friends 1994 2004 comedy romance 1196570 8 8
tt1475582,Sherlock,Sherlock,2010,2017,"Crime, Drama, Mystery",9,1091751,15,tt1475582 sherlock sherlock 2010 2017 crime drama mystery 1091751 9
tt1190634,The Boys,The Boys,2019,2026,"Action, Comedy, Crime",8.5,1001622,40,tt1190634 the boys the boys 2019 2026 action comedy crime 1001622 8 5
tt0773262,Dexter,Dexter,2006,2013,"Crime, Drama, Mystery",8.6,941214,96,tt0773262 dexter dexter 2006 2013 crime drama mystery 941214 8 6
tt0898266,The Big Bang Theory,The Big Bang Theory,2007,2019,"Comedy, Romance",8.1,939560,279,tt0898266 the big bang theory the big bang theory 2007 2019 comedy romance 939560 8 1
tt3032476,Better Call Saul,Better Call Saul,2015,2022,"Crime, Drama",9,844380,63,tt3032476 better call saul better call saul 2015 2022 crime drama 844380 9
tt0386676,The Office,The Office,2005,2013,Comedy,9,837755,191,tt0386676 the office the office 2005 2013 comedy 837755 9
tt0460649,How I Met Your Mother,How I Met Your Mother,2005,2014,"Comedy, Drama, Romance",8.3,784153,208,tt0460649 how i met your mother how i met your mother 2005 2014 comedy drama romance 784153 8 3
tt2442560,Peaky Blinders,Peaky Blinders,2013,2022,"Crime, Drama",8.7,781672,36,tt2442560 peaky blinders peaky blinders 2013 2022 crime drama 781672 8 7
tt10919420,Squid Game,Ojing-eo geim,2021,2025,"Action, Crime, Drama",7.9,765801,22,tt10919420 squid game ojing eo geim 2021 2025 action crime drama 765801 7 9
